Rule,Author,Description,Strings,CVE
is__elf,"@mmorenog,@yararules",,$header = { 7F 45 4C 46 },CVE-2019-1010266
is__Mirai_gen7,unixfreaxjp,Generic detection for MiraiX version 7,"$st01 = ""/bin/busybox rm"" fullword nocase wide ascii",CVE-2016-10401
is__Mirai_gen7,unixfreaxjp,Generic detection for MiraiX version 7,"$st02 = ""/bin/busybox echo"" fullword nocase wide ascii",CVE-2016-10401
is__Mirai_gen7,unixfreaxjp,Generic detection for MiraiX version 7,"$st03 = ""/bin/busybox wget"" fullword nocase wide ascii",CVE-2016-10401
is__Mirai_gen7,unixfreaxjp,Generic detection for MiraiX version 7,"$st04 = ""/bin/busybox tftp"" fullword nocase wide ascii",CVE-2016-10401
is__Mirai_gen7,unixfreaxjp,Generic detection for MiraiX version 7,"$st05 = ""/bin/busybox cp"" fullword nocase wide ascii",CVE-2016-10401
is__Mirai_gen7,unixfreaxjp,Generic detection for MiraiX version 7,"$st06 = ""/bin/busybox chmod"" fullword nocase wide ascii",CVE-2016-10401
is__Mirai_gen7,unixfreaxjp,Generic detection for MiraiX version 7,"$st07 = ""/bin/busybox cat"" fullword nocase wide ascii",CVE-2016-10401
LIGHTDART_APT1,AlienVault Labs,,"$s1 = ""ret.log"" wide ascii",CVE-2020-12653
LIGHTDART_APT1,AlienVault Labs,,"$s2 = ""Microsoft Internet Explorer 6.0"" wide ascii",CVE not found
LIGHTDART_APT1,AlienVault Labs,,"$s3 = ""szURL Fail"" wide ascii",CVE not found
LIGHTDART_APT1,AlienVault Labs,,"$s4 = ""szURL Successfully"" wide ascii",CVE not found
LIGHTDART_APT1,AlienVault Labs,,"$s5 = ""%s&sdate=%04ld-%02ld-%02ld"" wide ascii",CVE not found
AURIGA_APT1,AlienVault Labs,,"$s1 = ""superhard corp."" wide ascii",CVE not found
AURIGA_APT1,AlienVault Labs,,"$s2 = ""microsoft corp."" wide ascii",CVE not found
AURIGA_APT1,AlienVault Labs,,"$s3 = ""[Insert]"" wide ascii",CVE not found
AURIGA_APT1,AlienVault Labs,,"$s4 = ""[Delete]"" wide ascii",CVE not found
AURIGA_APT1,AlienVault Labs,,"$s5 = ""[End]"" wide ascii",CVE not found
AURIGA_APT1,AlienVault Labs,,"$s6 = ""!(*@)(!@KEY"" wide ascii",CVE not found
AURIGA_APT1,AlienVault Labs,,"$s7 = ""!(*@)(!@SID="" wide ascii",CVE not found
AURIGA_driver_APT1,AlienVault Labs,,"$s1 = ""Services\\riodrv32"" wide ascii",CVE not found
AURIGA_driver_APT1,AlienVault Labs,,"$s2 = ""riodrv32.sys"" wide ascii",CVE not found
AURIGA_driver_APT1,AlienVault Labs,,"$s3 = ""svchost.exe"" wide ascii",CVE not found
AURIGA_driver_APT1,AlienVault Labs,,"$s4 = ""wuauserv.dll"" wide ascii",CVE not found
AURIGA_driver_APT1,AlienVault Labs,,"$s5 = ""arp.exe"" wide ascii",CVE not found
AURIGA_driver_APT1,AlienVault Labs,,"$pdb = ""projects\\auriga"" wide ascii",CVE not found
BANGAT_APT1,AlienVault Labs,,"$s1 = ""superhard corp."" wide ascii",CVE not found
BANGAT_APT1,AlienVault Labs,,"$s2 = ""microsoft corp."" wide ascii",CVE not found
BANGAT_APT1,AlienVault Labs,,"$s3 = ""[Insert]"" wide ascii",CVE not found
BANGAT_APT1,AlienVault Labs,,"$s4 = ""[Delete]"" wide ascii",CVE not found
BANGAT_APT1,AlienVault Labs,,"$s5 = ""[End]"" wide ascii",CVE not found
BANGAT_APT1,AlienVault Labs,,"$s6 = ""!(*@)(!@KEY"" wide ascii",CVE not found
BANGAT_APT1,AlienVault Labs,,"$s7 = ""!(*@)(!@SID="" wide ascii",CVE not found
BANGAT_APT1,AlienVault Labs,,"$s8 = ""end      binary output"" wide ascii",CVE not found
BANGAT_APT1,AlienVault Labs,,"$s9 = ""XriteProcessMemory"" wide ascii",CVE not found
BANGAT_APT1,AlienVault Labs,,"$s10 = ""IE:Password-Protected sites"" wide ascii",CVE not found
BANGAT_APT1,AlienVault Labs,,"$s11 = ""pstorec.dll"" wide ascii",CVE not found
BISCUIT_GREENCAT_APT1,AlienVault Labs,,"$s1 = ""zxdosml"" wide ascii",CVE not found
BISCUIT_GREENCAT_APT1,AlienVault Labs,,"$s2 = ""get user name error!"" wide ascii",CVE not found
BISCUIT_GREENCAT_APT1,AlienVault Labs,,"$s3 = ""get computer name error!"" wide ascii",CVE not found
BISCUIT_GREENCAT_APT1,AlienVault Labs,,"$s4 = ""----client system info----"" wide ascii",CVE not found
BISCUIT_GREENCAT_APT1,AlienVault Labs,,"$s5 = ""stfile"" wide ascii",CVE not found
BISCUIT_GREENCAT_APT1,AlienVault Labs,,"$s6 = ""cmd success!"" wide ascii",CVE not found
BOUNCER_APT1,AlienVault Labs,,"$s1 = ""*Qd9kdgba33*%Wkda0Qd3kvn$*&><(*&%$E#%$#1234asdgKNAg@!gy565dtfbasdg"" wide ascii",CVE not found
BOUNCER_APT1,AlienVault Labs,,"$s2 = ""IDR_DATA%d"" wide ascii",CVE not found
BOUNCER_APT1,AlienVault Labs,,"$s3 = ""asdfqwe123cxz"" wide ascii",CVE not found
BOUNCER_APT1,AlienVault Labs,,"$s4 = ""Mode must be 0(encrypt) or 1(decrypt)."" wide ascii",CVE not found
BOUNCER_DLL_APT1,AlienVault Labs,,"$s1 = ""new_connection_to_bounce():"" wide ascii",CVE not found
BOUNCER_DLL_APT1,AlienVault Labs,,"$s2 = ""usage:%s IP port [proxip] [port] [key]"" wide ascii",CVE not found
CALENDAR_APT1,AlienVault Labs,,"$s1 = ""content"" wide ascii",CVE not found
CALENDAR_APT1,AlienVault Labs,,"$s2 = ""title"" wide ascii",CVE not found
CALENDAR_APT1,AlienVault Labs,,"$s3 = ""entry"" wide ascii",CVE not found
CALENDAR_APT1,AlienVault Labs,,"$s4 = ""feed"" wide ascii",CVE not found
CALENDAR_APT1,AlienVault Labs,,"$s5 = ""DownRun success"" wide ascii",CVE not found
CALENDAR_APT1,AlienVault Labs,,"$s6 = ""%s@gmail.com"" wide ascii",CVE not found
CALENDAR_APT1,AlienVault Labs,,"$s7 = ""<!--%s-->"" wide ascii",CVE not found
CALENDAR_APT1,AlienVault Labs,,"$b8 = ""W4qKihsb+So="" wide ascii",CVE not found
